,OVERALL,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
MATCHES PLAYED,124,14,14,16,14,24,23,19,Bengal Warriors
WINS,55,4,4,9,3,11,12,12,Bengal Warriors
DRAWS,15,1,1,0,2,6,2,3,Bengal Warriors
LOSSES,54,9,9,7,9,7,9,4,Bengal Warriors
FINISHING POSITION,-,7,6,4,8,1,2,1,Bengal Warriors
TOTAL RAIDS,5269,546,595,702,602,1079,963,782,Bengal Warriors
SUCCESSFUL RAIDS,1764,213,134,213,167,379,340,318,Bengal Warriors
UNSUCCESSFUL RAID,1143,146,151,144,125,223,201,153,Bengal Warriors
EMPTY RAIDS,2362,187,310,345,310,477,422,311,Bengal Warriors
SUCCESS RAID %,42%,52%,31%,36%,34%,42%,45%,51%,Bengal Warriors
NO. OF SUPER RAIDS,70,11,9,4,4,11,16,15,Bengal Warriors
RAID TOUCH POINTS,1725,220,151,204,154,333,341,322,Bengal Warriors
RAID BONUS POINTS,483,63,33,46,48,122,95,76,Bengal Warriors
TOTAL RAID POINTS,2208,283,184,250,202,455,436,398,Bengal Warriors
TOTAL TACKLES,2812,381,306,329,318,521,508,449,Bengal Warriors
SUCCESSFUL TACKLES,1017,106,116,137,117,181,186,174,Bengal Warriors
UNSUCCESFUL TACKLES,1795,275,190,192,201,340,322,275,Bengal Warriors
SUCCESSFUL TACKLE %,39%,32%,44%,46%,39%,37%,39%,41%,Bengal Warriors
NO. OF SUPER TACKLES,98,16,21,13,8,12,16,12,Bengal Warriors
ALL OUTS INFLICTED,130,11,10,17,11,27,23,31,Bengal Warriors
TOTAL ALL OUT POINTS,260,22,20,34,22,54,46,62,Bengal Warriors
TOTAL DEFENCE POINTS,1110,122,136,150,125,193,200,184,Bengal Warriors
MATCHES PLAYED,124,16,16,14,14,22,24,18,Bengaluru Bulls
WINS,57,8,10,2,5,8,15,9,Bengaluru Bulls
DRAWS,8,1,0,0,1,3,2,1,Bengaluru Bulls
LOSSES,59,7,6,12,8,11,7,8,Bengaluru Bulls
FINISHING POSITION,-,3,3,7,6,4,1,4,Bengaluru Bulls
TOTAL RAIDS,5284,647,730,603,605,943,1005,751,Bengaluru Bulls
SUCCESSFUL RAIDS,1795,225,194,158,157,336,431,294,Bengaluru Bulls
UNSUCCESSFUL RAID,1237,172,163,148,143,195,211,205,Bengaluru Bulls
EMPTY RAIDS,2252,250,373,297,305,412,363,252,Bengaluru Bulls
SUCCESS RAID %,43%,45%,35%,35%,33%,42%,54%,50%,Bengaluru Bulls
NO. OF SUPER RAIDS,62,7,10,9,4,5,20,7,Bengaluru Bulls
RAID TOUCH POINTS,1795,244,222,181,147,294,428,279,Bengaluru Bulls
RAID BONUS POINTS,472,47,30,28,54,99,119,95,Bengaluru Bulls
TOTAL RAID POINTS,2267,291,252,209,201,393,547,374,Bengaluru Bulls
TOTAL TACKLES,2715,353,341,291,287,480,550,413,Bengaluru Bulls
SUCCESSFUL TACKLES,1076,153,158,94,109,185,219,158,Bengaluru Bulls
UNSUCCESFUL TACKLES,1639,200,183,197,178,295,331,255,Bengaluru Bulls
SUCCESSFUL TACKLE %,43%,46%,48%,34%,43%,42%,42%,44%,Bengaluru Bulls
NO. OF SUPER TACKLES,93,10,7,7,15,17,12,25,Bengaluru Bulls
ALL OUTS INFLICTED,150,20,25,12,9,28,37,19,Bengaluru Bulls
TOTAL ALL OUT POINTS,300,40,50,24,18,56,74,38,Bengaluru Bulls
TOTAL DEFENCE POINTS,1162,163,164,100,124,200,230,181,Bengaluru Bulls
MATCHES PLAYED,120,14,14,14,14,22,24,18,Dabang Delhi K.C.
WINS,45,5,4,1,4,5,12,14,Dabang Delhi K.C.
DRAWS,9,1,1,1,1,1,2,2,Dabang Delhi K.C.
LOSSES,66,8,9,12,9,16,10,2,Dabang Delhi K.C.
FINISHING POSITION,-,6,6,8,7,6,3,1,Dabang Delhi K.C.
TOTAL RAIDS,5076,559,585,614,619,973,997,729,Dabang Delhi K.C.
SUCCESSFUL RAIDS,1734,246,159,171,162,283,401,312,Dabang Delhi K.C.
UNSUCCESSFUL RAID,1153,139,151,162,120,214,224,143,Dabang Delhi K.C.
EMPTY RAIDS,2189,174,275,281,337,476,372,274,Dabang Delhi K.C.
SUCCESS RAID %,43%,51%,37%,38%,37%,35%,48%,52%,Dabang Delhi K.C.
NO. OF SUPER RAIDS,62,5,14,5,11,6,13,8,Dabang Delhi K.C.
RAID TOUCH POINTS,1656,228,174,175,170,260,367,282,Dabang Delhi K.C.
RAID BONUS POINTS,512,57,43,58,56,84,116,98,Dabang Delhi K.C.
TOTAL RAID POINTS,2168,285,217,233,226,344,483,380,Dabang Delhi K.C.
TOTAL TACKLES,2833,370,333,346,306,497,559,422,Dabang Delhi K.C.
SUCCESSFUL TACKLES,979,124,122,98,116,159,198,162,Dabang Delhi K.C.
UNSUCCESFUL TACKLES,1854,246,211,248,190,338,361,260,Dabang Delhi K.C.
SUCCESSFUL TACKLE %,38%,36%,41%,32%,44%,34%,39%,40%,Dabang Delhi K.C.
NO. OF SUPER TACKLES,96,10,14,13,20,12,19,8,Dabang Delhi K.C.
ALL OUTS INFLICTED,136,18,13,9,15,18,34,29,Dabang Delhi K.C.
TOTAL ALL OUT POINTS,272,36,26,18,30,36,68,58,Dabang Delhi K.C.
TOTAL DEFENCE POINTS,1068,134,136,111,134,169,216,168,Dabang Delhi K.C.
MATCHES PLAYED,67,,,,,24,25,18,Gujarat Fortunegiants
WINS,39,,,,,16,18,5,Gujarat Fortunegiants
DRAWS,7,,,,,3,2,2,Gujarat Fortunegiants
LOSSES,21,,,,,5,5,11,Gujarat Fortunegiants
FINISHING POSITION,-,,,,,1,1,9,Gujarat Fortunegiants
TOTAL RAIDS,2858,,,,,1055,1072,731,Gujarat Fortunegiants
SUCCESSFUL RAIDS,953,,,,,335,392,226,Gujarat Fortunegiants
UNSUCCESSFUL RAID,657,,,,,211,246,200,Gujarat Fortunegiants
EMPTY RAIDS,1248,,,,,509,434,305,Gujarat Fortunegiants
SUCCESS RAID %,41%,,,,,38%,45%,38%,Gujarat Fortunegiants
NO. OF SUPER RAIDS,25,,,,,11,10,4,Gujarat Fortunegiants
