,OVERALL,Player Name,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
MATCHES PLAYED,78,maninder-singh,16,0,,,21,22,19,Bengal Warriors
TOTAL POINTS EARNED,727,maninder-singh,137,0,,,192,206,192,Bengal Warriors
MOST POINTS IN A MATCH,19,maninder-singh,13,0,,,17,17,19,Bengal Warriors
NOT OUT %,80.39 %,maninder-singh,76 %,0,,,82.01 %,79.52 %,82.02 %,Bengal Warriors
TOTAL RAIDS,1224,maninder-singh,175,0,,,367,376,306,Bengal Warriors
SUCCESSFUL RAIDS %,58.66,maninder-singh,74.28,0,,,51.77,54.78,62.74,Bengal Warriors
NO OF SUPER RAIDS,21,maninder-singh,3,0,,,6,6,6,Bengal Warriors
SUPER 10S,32,maninder-singh,5,0,,,9,9,9,Bengal Warriors
TOTAL RAID POINTS,718,maninder-singh,130,0,,,190,206,192,Bengal Warriors
AVERAGE RAID POINTS / MATCH,9.2,maninder-singh,8.12,0,,,9.04,9.36,10.1,Bengal Warriors
NO OF SUPER TACKLES,1,maninder-singh,1,0,,,0,0,0,Bengal Warriors
HIGH 5S,0,maninder-singh,0,0,,,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,9,maninder-singh,7,0,,,2,0,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0.1,maninder-singh,0.37,0,,,0.09,0,0,Bengal Warriors
TOTAL TACKLES,44,maninder-singh,19,0,,,13,5,7,Bengal Warriors
TACKLE STRIKE RATE,20.45 %,maninder-singh,36.84 %,0,,,15.38 %,0,0,Bengal Warriors
MATCHES PLAYED,81,k--prapanjan,,4,4,11,22,22,18,Bengal Warriors
TOTAL POINTS EARNED,369,k--prapanjan,,7,2,12,124,123,101,Bengal Warriors
MOST POINTS IN A MATCH,12,k--prapanjan,,3,1,3,11,12,12,Bengal Warriors
NOT OUT %,77.07 %,k--prapanjan,,71.42 %,16.66 %,69.04 %,77.45 %,78.03 %,79.18 %,Bengal Warriors
TOTAL RAIDS,820,k--prapanjan,,14,6,42,306,255,197,Bengal Warriors
SUCCESSFUL RAIDS %,44.26,k--prapanjan,,35.71,33.33,28.57,40.19,47.84,50.25,Bengal Warriors
NO OF SUPER RAIDS,7,k--prapanjan,,0,0,0,2,1,4,Bengal Warriors
SUPER 10S,10,k--prapanjan,,0,0,0,3,4,3,Bengal Warriors
TOTAL RAID POINTS,363,k--prapanjan,,5,2,12,123,122,99,Bengal Warriors
AVERAGE RAID POINTS / MATCH,4.48,k--prapanjan,,1.25,0.5,1.09,5.59,5.54,5.5,Bengal Warriors
NO OF SUPER TACKLES,0,k--prapanjan,,0,0,0,0,0,0,Bengal Warriors
HIGH 5S,0,k--prapanjan,,0,0,0,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,6,k--prapanjan,,2,0,0,1,1,2,Bengal Warriors
AVERAGE TACKLE / MATCH,0.07,k--prapanjan,,0.5,0,0,0.04,0.04,0.11,Bengal Warriors
TOTAL TACKLES,50,k--prapanjan,,5,2,1,17,11,14,Bengal Warriors
TACKLE STRIKE RATE,12 %,k--prapanjan,,40 %,0,0,5.88 %,9.09 %,14.28 %,Bengal Warriors
MATCHES PLAYED,3,mohammad-taghi,,,,,,,3,Bengal Warriors
TOTAL POINTS EARNED,1,mohammad-taghi,,,,,,,1,Bengal Warriors
MOST POINTS IN A MATCH,1,mohammad-taghi,,,,,,,1,Bengal Warriors
NOT OUT %,25 %,mohammad-taghi,,,,,,,25 %,Bengal Warriors
TOTAL RAIDS,4,mohammad-taghi,,,,,,,4,Bengal Warriors
SUCCESSFUL RAIDS %,0,mohammad-taghi,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,mohammad-taghi,,,,,,,0,Bengal Warriors
SUPER 10S,0,mohammad-taghi,,,,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,mohammad-taghi,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,mohammad-taghi,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,mohammad-taghi,,,,,,,0,Bengal Warriors
HIGH 5S,0,mohammad-taghi,,,,,,,0,Bengal Warriors
